Link,Status,Arquivo
https://drive.google.com/open?id=1dTeq0pIjKPozB3p7t5kjkhzEg8szXgn7,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=10NhMTORH6UFoUC9t90sN7AeMQwgrhzcR,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1WYXE9hh8lI7lGvn1srUajCG7hZN3Zeet,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1f4TFrJu0BukpfLK3TjZyexujjR9CiikJ,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1VVBOk-iI8z4GaJcLu9BWquMaS31CG2nQ,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1I5MgpZzB20lIAUTgeRYid2mCasg-HzMl,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1Vf_Ju6AAqu6oCWEvZKjC5Izk2HHrSCuK,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1Y8gaVZXZXBPOlr-z4Y8V9blkXet5bjz5,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1INjk4re3ZOovb7QZmI0cB_8qtHfrjKTb,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1oBU8E6C3g79q8WX04m_tUVvJ5A4xvQFL,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=17b93u7ywdGy671uFh8FdSw0x0gUfiQmi,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=18n4CMb96nl79Wq89eo96rJTEdNn5j7t_,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1ImAsKb_UAgrw2ybRvjuLuLkPuHvlKPxq,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1HtZKZokuinGmumZLXseQlqmFsfdP72kb,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1wZ3Pbd5qd0_9-aeIT0epkJysAIjB0imW,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=10StWELexSCILYlT2JYE1xQq0Ondpz5rV,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1xVrYy3eELKl6mWvruOXUSxzBwrqGZBW_,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1dr39otC8U9fxv2T6e79HdBuhugyMBPqQ,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1EQSc20_WWQNOioK5yrd9yjoaPQtGnGcm,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1ix5pBkfjVrwT2LII2Gf7SGg9tmZcxsDB,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=12vZnp63COvRX2U3xMOVzk2Wozn6GxrBU,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=19dOFGk-IV_-C98vtiwBX7qVjFIVRDRU9,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1XpW4_wzMu2HkxErgcCrfE-Qv7xTKY9L_,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1IDUAnoAIZL9cL5-EI9b1s8aVUcJqk0fB,ERRO,download() got an unexpected keyword argument 'fuzzy'
